,tips
944,Pholiota_conissans
945,Hypholoma_sublateritium
946,Pholiota_alnicola
947,Hebeloma_cylindrosporum
948,Psilocybe_cubensis
949,Psilocybe_serbica
950,Agrocybe_pediades
951,Galerina_marginata
952,Gymnopilus_junonius
953,Panaeolus_papilionaceus
954,Crepidotus_variabilis
955,Crassisporium_funariophilum
956,Phlegmacium_glaucopus
957,Crucibulum_laeve
958,Mycocalia_denudata
959,Cyathus_pallidus
960,Cyathus_stercoreus
961,Cyathus_striatus
962,Leucoagaricus_gongylophorus
963,Macrolepiota_fuliginosa
964,Agaricus_bisporus
965,Agaricus_bisporus
966,Amanita_muscaria
967,Amanita_rubescens
968,Amanita_thiersii
969,Plucer1
970,Volvariella_volvacea
971,Termitomyces_sp.
972,Lyophyllum_atratum
973,Hypsizygus_marmoreus
974,Lepista_nuda
975,Tricholoma_matsutake
976,Clitocybe_gibba
977,Pleurotus_ostreatus
978,Pleurotus_ostreatus
979,Pleery1
980,Pterula_gracilis
981,Phanerochaete_carnosa
982,Phanerochaete_chrysosporium
983,Phlebiopsis_gigantea
984,Bjerkandera_adusta
985,Porosterum_spadiceum
986,Hydnopolyporus_fimbriatus
987,Irpex_lacteus
988,Cytidiella_melzeri
989,Trace1
990,Phlebia_brevispora
991,Phlebia_radiata
992,Phlebia_centrifuga
993,Panru1
994,Abortiporus_biennis
995,Antrodia_serialis
996,Rhodofomes_roseus
997,Fomitopsis_schrenkii
998,Fomitopsis_betulina
999,Daedalea_quercina
